Adj,Noun,Words,Group,Item,Level,Log_Freq,Log_TP,Length,Adj_Length,Task1,Task2,Correct_Task,Correct_Task_Num,Adj_Trigger,Target_Trigger,Task_Trigger
great,accessory,Two,1,1,Super,3.047664195,-4.529601437,9,5,useful,heavy,useful,1,11,1,21
red,accessory,Two,1,2,Super,3.047664195,-4.936040989,9,3,blue,wearable,wearable,2,11,1,21
competitive,activity,Two,2,3,Super,4.58383331,-3.360701812,8,11,sleep,sport,sport,2,11,1,21
serious,activity,Two,2,4,Super,4.58383331,-4.133122186,8,7,joke,work,work,2,11,1,21
american,alcohol,Two,3,5,Super,4.247310277,-4.896196279,7,8,Budweiser,Corona,Budweiser,1,11,1,21
local,alcohol,Two,3,6,Super,4.247310277,-4.537602002,7,5,Brooklyn Lager,Russian Vodka,Brooklyn Lager,1,11,1,21
hungry,animal,Two,4,7,Super,4.418765175,-2.933402918,6,6,sleeping,eating,eating,2,11,1,21
male,animal,Two,4,8,Super,4.418765175,-3.211079692,6,4,buck,doe,buck,1,11,1,21
ruined,building,Two,5,9,Super,4.897989768,-2.541891179,8,6,broken,fixed,broken,1,11,1,21
gothic,building,Two,5,10,Super,4.897989768,-2.162863008,8,6,ornate,simple,ornate,1,11,1,21
black,clothing,Two,6,11,Super,4.125481266,-3.674445342,8,5,warm,cool,warm,1,11,1,21
purple,clothing,Two,6,12,Super,4.125481266,-3.927422942,8,6,yellow,mauve,mauve,2,11,1,21
blue,container,Two,7,13,Super,3.742017747,-3.911059882,9,4,opaque,transparent,opaque,1,11,1,21
empty,container,Two,7,14,Super,3.742017747,-3.14774148,9,5,storage,transport,storage,1,11,1,21
female,creature,Two,8,15,Super,3.908324139,-4.312663866,8,6,big,small,small,2,11,1,21
male,creature,Two,8,16,Super,3.908324139,-3.927082792,8,4,weak,strong,strong,2,11,1,21
french,dessert,Two,9,17,Super,3.693902741,-3.619708841,7,6,bad,good,good,2,11,1,21
baked,dessert,Two,9,18,Super,3.693902741,-3.329499576,7,5,healthy,unhealthy,unhealthy,2,11,1,21
devastating,disaster,Two,10,19,Super,4.136752266,-2.986697107,8,11,hurricane sandy,hurricane irene,hurricane sandy,1,11,1,21
major,disaster,Two,10,20,Super,4.136752266,-3.064546143,8,5,bad,good,bad,1,11,1,21
frothy,drink,Two,11,21,Super,4.430300856,-2.704150517,5,6,bubbles,no bubbles,bubbles,1,11,1,21
steaming,drink,Two,11,22,Super,4.430300856,-3.019739311,5,8,hot,cold,hot,1,11,1,21
american,dwelling,Two,12,23,Super,3.178113252,-5.373659633,8,8,home,office,home,1,11,1,21
gray,dwelling,Two,12,24,Super,3.178113252,-4.419075024,8,4,happy,gloomy,gloomy,2,11,1,21
blue,fabric,Two,13,25,Super,3.94792362,-3.525707753,6,4,cut,sew,sew,2,11,1,21
soft,fabric,Two,13,26,Super,3.94792362,-2.923511022,6,4,comfortable,itchy,comfortable,1,11,1,21
melted,food,Two,14,27,Super,5.011160059,-3.663040215,4,6,hot,cold,hot,1,11,1,21
local,food,Two,14,28,Super,5.011160059,-2.643305647,4,5,pollution,environmentally friendly,environmentally friendly,2,11,1,21
strong,liquor,Two,15,29,Super,3.613207352,-3.554009929,6,6,40 proof,80 proof,80 proof,2,11,1,21
blended,liquor,Two,15,30,Super,3.613207352,-3.497344867,6,7,cheap,expensive,cheap,1,11,1,21
wet,material,Two,16,31,Super,4.572371992,-3.449657889,8,3,heavy,light,heavy,1,11,1,21
colorful,material,Two,16,32,Super,4.572371992,-3.504470862,8,8,black,rainbow,rainbow,2,11,1,21
dried,meal,Two,17,33,Super,4.143170993,-3.707570176,4,5,soft,crunchy,crunchy,2,11,1,21
uncooked,meal,Two,17,34,Super,4.143170993,-2.765668555,4,8,edible,inedible,inedible,2,11,1,21
new,money,Two,18,35,Super,5.252083235,-3.171534097,5,3,crisp,torn,crisp,1,11,1,21
american,money,Two,18,36,Super,5.252083235,-3.291387067,5,8,euro,dollar,dollar,2,11,1,21
elderly,pet,Two,19,37,Super,3.867762025,-4.065168752,3,7,slow,fast,slow,1,11,1,21
old,pet,Two,19,38,Super,3.867762025,-4.391473966,3,3,healthy,sick,sick,2,11,1,21
yellow,plant,Two,20,39,Super,4.579383404,-4.110471862,5,6,street,garden,garden,2,11,1,21
white,plant,Two,20,40,Super,4.579383404,-4.821023053,5,5,decorative,useful,decorative,1,11,1,21
large,reptile,Two,21,41,Super,2.761175813,-4.617650247,7,5,scary,friendly,scary,1,11,1,21
big,reptile,Two,21,42,Super,2.761175813,-4.591647729,7,3,short,tall,tall,2,11,1,21
roasted,snack,Two,22,43,Super,3.520876382,-3.576110536,5,7,dark,light,dark,1,11,1,21
salted,snack,Two,22,44,Super,3.520876382,-2.621176282,5,6,savory,sweet,savory,1,11,1,21
olympic,sport,Two,23,45,Super,4.412460547,-2.151682611,5,7,competitive,easy,competitive,1,11,1,21
international,sport,Two,23,46,Super,4.412460547,-3.314964073,5,13,global,local,global,1,11,1,21
mature,vegetation,Two,24,47,Super,3.57426283,-3.832062687,10,6,bushy,trim,bushy,1,11,1,21
green,vegetation,Two,24,48,Super,3.57426283,-3.433872576,10,5,sick,healthy,healthy,2,11,1,21
black,vehicle,Two,25,49,Super,4.253822439,-4.276544328,7,5,fly,drive,drive,2,11,1,21
red,vehicle,Two,25,50,Super,4.253822439,-4.090979146,7,3,unpainted,painted,painted,2,11,1,21
antique,weapon,Two,26,51,Super,4.062469166,-3.686278678,6,7,rusty,clean,rusty,1,11,1,21
loaded,weapon,Two,26,52,Super,4.062469166,-2.647176936,6,6,safe,dangerous,dangerous,2,11,1,21
great,bag,Two,1,53,Basic,4.468937806,-4.353510178,3,5,fits a little,fits a lot,fits a lot,2,12,2,22
red,bag,Two,1,54,Basic,4.468937806,-3.150711154,3,3,colorless,colorful,colorful,2,12,2,22
competitive,game,Two,2,55,Basic,5.028522453,-2.552587051,4,11,amateur,professional,professional,2,12,2,22
serious,game,Two,2,56,Basic,5.028522453,-3.354924715,4,7,daydreaming,concentration,concentration,2,12,2,22
american,wine,Two,3,57,Basic,4.419922721,-3.554629351,4,8,Kentucky,California,California,2,12,2,22
local,wine,Two,3,58,Basic,4.419922721,-3.290097719,4,5,imported,not imported,not imported,2,12,2,22
hungry,bird,Two,4,59,Basic,4.301637583,-3.109494177,4,6,drinks,eats,eats,2,12,2,22
male,bird,Two,4,60,Basic,4.301637583,-3.67181006,4,4,mother,father,father,2,12,2,22
ruined,church,Two,5,61,Basic,4.912317729,-2.775974299,6,6,abandoned,in use,abandoned,1,12,2,22
gothic,church,Two,5,62,Basic,4.912317729,-1.861833012,6,6,new,old,old,2,12,2,22
black,pants,Two,6,63,Basic,4.116906468,-2.765364795,5,5,stylish,unstylish,stylish,1,12,2,22
purple,pants,Two,6,64,Basic,4.116906468,-2.781293594,5,6,adult,child,child,2,12,2,22
blue,bottle,Two,7,65,Basic,4.216878142,-3.251006948,6,4,plastic,wood,plastic,1,12,2,22
empty,bottle,Two,7,66,Basic,4.216878142,-2.121143651,6,5,heavy,light,light,2,12,2,22
female,fish,Two,8,67,Basic,4.674741762,-3.613693862,4,6,doesn't lay eggs,lays eggs,lays eggs,2,12,2,22
male,fish,Two,8,68,Basic,4.674741762,-3.512109444,4,4,shiny,dull,shiny,1,12,2,22
french,pastry,Two,9,69,Basic,3.473340964,-3.204735493,6,6,delicious,flavorless,delicious,1,12,2,22
baked,pastry,Two,9,70,Basic,3.473340964,-2.727439584,6,5,cold,hot,hot,2,12,2,22
devastating,storm,Two,10,71,Basic,4.323334619,-2.685667112,5,11,dangerous,safe,dangerous,1,12,2,22
